,time,finesse_p,piecepersec,normed_allclear,normed_doubles,normed_minitspindoubles,normed_minitspins,normed_minitspinsingles,normed_quads,normed_realtspins,normed_singles,normed_triples,normed_tspindoubles,normed_tspinquads,normed_tspinsingles,normed_tspintriples,holdspersec,holdsperpieceplaced,linesperpiece,pieceperinput,inputspersec
0,114.29166666666667,0.2818181818181818,0.962449872402479,0.0,0.14814814814814814,0.0,0.0,0.0,0.1111111111111111,0.0,0.7407407407407407,0.0,0.0,0.0,0.0,0.0,0.0962449872402479,0.1,0.36363636363636365,0.20522388059701493,4.689755741888443
1,99.59666666666668,0.4077669902912621,1.0341711569998995,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,0.0,0.13052645670872517,0.1262135922330097,0.3883495145631068,0.21106557377049182,4.899762374912145
2,88.725,0.28431372549019607,1.1496196111580728,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.78125,0.03125,0.0,0.0,0.0,0.0,0.045083122006198934,0.0392156862745098,0.39215686274509803,0.20987654320987653,5.477599323753171
3,85.975,0.38095238095238093,1.2212852573422508,0.0,0.23333333333333334,0.0,0.0,0.0,0.03333333333333333,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.06978772899098576,0.05714285714285714,0.38095238095238093,0.21784232365145229,5.606280895609189
4,107.76166666666667,0.30275229357798167,1.0114914085095195,0.0,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.7741935483870968,0.0967741935483871,0.0,0.0,0.0,0.0,0.10207711462022673,0.10091743119266056,0.3761467889908257,0.19746376811594202,5.122415206396832
5,95.915,0.3786407766990291,1.0738674868373037,0.0,0.10714285714285714,0.0,0.0,0.0,0.03571428571428571,0.0,0.75,0.10714285714285714,0.0,0.0,0.0,0.0,0.06255538758275556,0.05825242718446602,0.3883495145631068,0.20724346076458752,5.181671271438252
6,88.98166666666667,0.3235294117647059,1.1463035456742026,0.0,0.18518518518518517,0.0,0.0,0.0,0.07407407407407407,0.0,0.7037037037037037,0.037037037037037035,0.0,0.0,0.0,0.0,0.07866789038940605,0.06862745098039216,0.39215686274509803,0.2156448202959831,5.3157017363127235
7,91.63833333333334,0.3269230769230769,1.1348962406562029,0.0,0.2413793103448276,0.0,0.0,0.0,0.0,0.0,0.6896551724137931,0.06896551724137931,0.0,0.0,0.0,0.0,0.04364985540985395,0.038461538461538464,0.38461538461538464,0.22269807280513917,5.096120619100449
8,115.86333333333333,0.33980582524271846,0.8889783940849852,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.07142857142857142,0.0,0.0,0.0,0.0,0.08630858194999856,0.0970873786407767,0.3883495145631068,0.19324577861163228,4.6002474179349235
9,87.15333333333332,0.3069306930693069,1.1588770748871722,0.0,0.24,0.0,0.0,0.0,0.04,0.0,0.6,0.12,0.0,0.0,0.0,0.0,0.09179224355541958,0.07920792079207921,0.39603960396039606,0.20570264765784113,5.633748948213877
10,84.815,0.4803921568627451,1.202617461533927,0.0,0.16666666666666666,0.0,0.0,0.0,0.03333333333333333,0.0,0.7666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.011790367269940458,0.00980392156862745,0.39215686274509803,0.24878048780487805,4.834050580675588
11,107.43333333333332,0.32432432432432434,1.0331988830282346,0.0,0.12903225806451613,0.0,0.0,0.0,0.03225806451612903,0.0,0.8064516129032258,0.03225806451612903,0.0,0.0,0.0,0.0,0.0837728824076947,0.08108108108108109,0.36036036036036034,0.20786516853932585,4.970524356189886
12,111.11666666666667,0.24761904761904763,0.9449527523623819,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.78125,0.03125,0.0,0.0,0.0,0.0,0.143992800359982,0.1523809523809524,0.38095238095238093,0.189873417721519,4.976751162441878
13,91.46833333333333,0.3238095238095238,1.1479382664310052,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.8529411764705882,0.029411764705882353,0.0,0.0,0.0,0.0,0.04373098157832401,0.0380952380952381,0.38095238095238093,0.22435897435897437,5.1165248446639096
14,95.53333333333333,0.37142857142857144,1.0990928122819261,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.8857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.0837404047452896,0.0761904761904762,0.38095238095238093,0.21384928716904278,5.13956734124215
15,108.81666666666668,0.34285714285714286,0.9649257160361463,0.0,0.15384615384615385,0.0,0.0,0.0,0.038461538461538464,0.0,0.6538461538461539,0.15384615384615385,0.0,0.0,0.0,0.0,0.17460560575892173,0.18095238095238095,0.3904761904761905,0.19337016574585636,4.9900444172155
16,107.19666666666667,0.3644859813084112,0.9981653658384899,0.0,0.22580645161290322,0.0,0.0,0.0,0.0,0.0,0.7419354838709677,0.03225806451612903,0.0,0.0,0.0,0.0,0.1119437793463727,0.11214953271028037,0.37383177570093457,0.1956124314442413,5.1027706085388225
17,97.585,0.3173076923076923,1.0657375621253267,0.0,0.0967741935483871,0.0,0.0,0.0,0.06451612903225806,0.0,0.8387096774193549,0.0,0.0,0.0,0.0,0.0,0.09222728903007635,0.08653846153846154,0.38461538461538464,0.21621621621621623,4.929036224829636
18,88.635,0.39603960396039606,1.1395047103288767,0.0,0.23333333333333334,0.0,0.0,0.0,0.03333333333333333,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.05641112427370677,0.04950495049504951,0.39603960396039606,0.22394678492239467,5.0882834094883505
19,91.05833333333332,0.3069306930693069,1.109179097648028,0.0,0.2413793103448276,0.0,0.0,0.0,0.0,0.0,0.6896551724137931,0.06896551724137931,0.0,0.0,0.0,0.0,0.09883774137457675,0.0891089108910891,0.39603960396039606,0.21041666666666667,5.271346206644093
20,87.26666666666667,0.3564356435643564,1.157372039724981,0.0,0.09375,0.0,0.0,0.0,0.03125,0.0,0.84375,0.03125,0.0,0.0,0.0,0.0,0.09167303284950344,0.07920792079207921,0.39603960396039606,0.21398305084745764,5.408708938120703
21,90.74333333333333,0.2803738317757009,1.1791499834698602,0.0,0.11764705882352941,0.0,0.0,0.0,0.029411764705882353,0.0,0.8529411764705882,0.0,0.0,0.0,0.0,0.0,0.08816074642765309,0.07476635514018691,0.38317757009345793,0.21021611001964635,5.6092274914594284
22,105.265,0.29357798165137616,1.0354818790671163,0.0,0.25925925925925924,0.0,0.0,0.0,0.0,0.0,0.6296296296296297,0.1111111111111111,0.0,0.0,0.0,0.0,0.0379993350116373,0.03669724770642202,0.3669724770642202,0.22567287784679088,4.588419702655203
23,105.295,0.2897196261682243,1.0161926017379743,0.0,0.2413793103448276,0.0,0.0,0.0,0.0,0.0,0.6896551724137931,0.06896551724137931,0.0,0.0,0.0,0.0,0.06647988983332542,0.06542056074766354,0.37383177570093457,0.20226843100189035,5.023980245975593
24,107.05833333333332,0.24761904761904763,0.9807737214913989,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.027777777777777776,0.0,0.0,0.0,0.0,0.08406631898497705,0.08571428571428572,0.3904761904761905,0.19699812382739212,4.97859422433253
25,103.75,0.30097087378640774,0.9927710843373494,0.0,0.17857142857142858,0.0,0.0,0.0,0.03571428571428571,0.0,0.7142857142857143,0.07142857142857142,0.0,0.0,0.0,0.0,0.15421686746987953,0.1553398058252427,0.3883495145631068,0.1925233644859813,5.156626506024097
